idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,phone,website,provider
12,East York Town Centre,Hospital Immunization Clinic,-79.346049059625,43.705981419136,45 Overlea Boulevard,Toronto,ON,,https://tehn.ca/covid19/covid-19-vaccine/covid-19-immunization-clinics-east-toronto,Toronto
13,Carefirst Seniors and Community Services Association Clinic,Hospital Immunization Clinic,-79.29495668845701,43.812781513219,300 Silver Star Boulevard,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto
14,Centennial College Progress Campus Clinic,Hospital Immunization Clinic,-79.22820230195001,43.785626371638,941 Progress Avenue,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto
15,Humber River Hospital COVax Vaccine Clinic - Downsview Arena,Hospital Immunization Clinic,-79.531034259625,43.713852472062,2625 Weston Road,Toronto,ON,,https://www.hrh.ca/covax-clinic-booking/,Toronto
16,NYGH Vaccination Clinic,Hospital Immunization Clinic,-79.36320180195101,43.769755820985,4001 Leslie Street,Toronto,ON,,,Toronto
17,CAMH Vaccination Clinic,Hospital Immunization Clinic,-79.419124457775,43.64352200475,100 Stokes Street,Toronto,ON,,http://www.camh.ca/covidvaccine,Toronto
18,TAIBU Community Health Centre,Hospital Immunization Clinic,-79.2205897086,43.806308528206,27 Tapscott Road,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto
19,The Mid-Scarborough Hub,Hospital Immunization Clinic,-79.250706610454,43.737387970125,2660 Eglinton Avenue East,Toronto,ON,,https://www.scarboroughcovidvaccineclinic.ca/,Toronto
20,Michael Garron Hospital,Hospital Immunization Clinic,-79.324879659625,43.690088500097,825 Coxwell Avenue,Toronto,ON,,https://tehn.ca/covid19/covid-19-vaccine,Toronto
21,Allcures Pharmacy,Pharmacy Immunization Site,-79.329585034,43.718572185,"31 St. Dennis Drive, Unit 1",Toronto,ON,416-696-1400,,Toronto
22,Raymond Wing Chiu Chan Drug Ltd.,Pharmacy Immunization Site,-79.374856585,43.770123506,794 Sheppard Ave East,Toronto,ON,416-222-7701,,Toronto
23,KIPLING & QUEENSWAY PHARMACY,Pharmacy Immunization Site,-79.524809007,43.621073842,"1255 THE QUEENSWAY, UNIT-20",Toronto,ON,647-508-3550,,Toronto
24,NEW CALEDONIA PHARMACY,Pharmacy Immunization Site,-79.462294728,43.693285018,600 Caledonia Rd,Toronto,ON,416-785-8385,,Toronto
25,HEALTH CHECK PHARMACY PHARMASAVE,Pharmacy Immunization Site,-79.248587886,43.823166745,"2826A MARKHAM ROAD, SCARBOROUGH, ONTARIO",Toronto,ON,416-298-8165,,Toronto
26,Vina Pharmacy,Pharmacy Immunization Site,-79.337169872,43.668691587,1025 Gerrard Street E,Toronto,ON,416-469-5386,,Toronto
27,Birchmount Pharmasave,Pharmacy Immunization Site,-79.26959561,43.707284138,462 Birchmount Road,Toronto,ON,416-698-1616,,Toronto
28,Whole Health Pharmacy,Pharmacy Immunization Site,-79.5023861,43.699196993,"1575 Jane Street, Unit 7",Toronto,ON,416-245-2273,https://wholehealthcooksville.ca/,Toronto
29,pharmasave 606,Pharmacy Immunization Site,-79.28803955200001,43.680636081,944 Kingston Rd.,Toronto,ON,416-698-1641,https://lawlor.medmeapp.ca/schedule/,Toronto
30,Keele and Finch Pharmacy,Pharmacy Immunization Site,-79.48744566400001,43.763887344,102- 1275 Finch Ave West,Toronto,ON,647-349-2273,https://pharmasave.com/store/pharmasave-university-heights-pharmacy/,Toronto
31,Jarvis st. Apothecary,Pharmacy Immunization Site,-79.374722773,43.658253511,275 Jarvis St.,Toronto,ON,416-792-1959,https://jarvis-st-apothecary.business.site,Toronto
32,Total Health Pharmacy,Pharmacy Immunization Site,-79.338046193,43.668487404,997 Gerrard St E,Toronto,ON,647-351-3784,https://pharmaconnect.ca/Appointment/ff38dc2c-4b68-479a-a6a5-5c0f6bd992c5,Toronto
33,Nor-Arm Pharmacy,Pharmacy Immunization Site,-79.488537583,43.764248055,107-1280 Finch Ave West,Toronto,ON,416-667-8430,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/nor-arm-pharmacy-7018005,Toronto
34,Premier Pharmacy and Compounding Centre,Pharmacy Immunization Site,-79.43093572799999,43.725380703,3323 Bathurst Street,Toronto,ON,647-347-1311,https://premierpharmacy.ca/,Toronto
35,Northcliffe Pharmacy,Pharmacy Immunization Site,-79.44784703099999,43.696007225,1751 Eglinton Avenue West,Toronto,ON,416-256-7888,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/northcliff-pharmacy-7023147,Toronto
36,LOBLAWS INC LOB1010 RX DSP,Pharmacy Immunization Site,-79.412275076,43.768280256,5095 YONGE ST,Toronto,ON,416-512-9436,https://www.loblaws.ca/covid19,Toronto
37,LOBLAWS INC LOB1212 RX DSP,Pharmacy Immunization Site,-79.41530468000001,43.684075185,396 ST CLAIR AVE W,Toronto,ON,416-651-5145,https://www.loblaws.ca/covid19,Toronto
38,Dynasty Pharmacy,Pharmacy Immunization Site,-79.415524819,43.777205211,5460 Yonge Street Unit 106,Toronto,ON,416-250-5460,https://www.rxhealthmed.ca/locations/dynasty-pharmacy/,Toronto
39,Lingeman IDA Pharmacy,Pharmacy Immunization Site,-79.487922138,43.658742791,411 Jane st,Toronto,ON,416-767-8409,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/lingeman-ida-pharmacy-7028510,Toronto
40,Guardian Village Square Pharmacy,Pharmacy Immunization Site,-79.329809802,43.794260779,"2942 FINCH AVE E., Scar, Ont",Toronto,ON,416-492-4167,https://www.guardian-ida-pharmacies.ca/en/ontario/scarborough/village-square-pharmacy-7005106,Toronto
41,Orton Park Guardian Pharmacy,Pharmacy Immunization Site,-79.20911961,43.77171822,136 Orton Park Road,Toronto,ON,416-439-7222,https://www.guardian-ida-pharmacies.ca/en/ontario/scarborough/orton-park-pharmacy-7041430,Toronto
42,Canadian Compounding Pharmacy,Pharmacy Immunization Site,-79.507232356,43.648501682,2920 Bloor St West,Toronto,ON,416-239-3566,https://www.medspharmacy.ca/canadian-compounding-pharmacy,Toronto
43,High Park,Pharmacy Immunization Site,-79.466789535,43.653433271,1938 Bloor St. W,Toronto,ON,416-769-2222,https://www.medspharmacy.ca/high-park-pharmacy,Toronto
44,Junction Pharmacy,Pharmacy Immunization Site,-79.469944965,43.665660061,3016 DUNDAS ST WEST,Toronto,ON,416-763-2394,https://www.medspharmacy.ca/junction-pharmacy,Toronto
45,Rosebury - Sobeys,Pharmacy Immunization Site,-79.441027128,43.703254768,145 Marlee Avenue,Toronto,ON,416-781-0606,https://www.pharmacyappointments.ca/,Toronto
46,Lawrence/Midland - Sobeys,Pharmacy Immunization Site,-79.263873273,43.752174235,2650 Lawrence Avenue E,Toronto,ON,416-755-4184,https://www.pharmacyappointments.ca/,Toronto
47,Unicare Pharmacy,Pharmacy Immunization Site,-79.517825239,43.598308603,3170 Lakeshore BLVD West,Toronto,ON,416-503-0013,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/unicare-pharmacy-7001192,Toronto
48,Care and Health Pharmacy,Pharmacy Immunization Site,-79.293529986,43.690270422,2928 Danforth Ave,Toronto,ON,416-537-2565,https://carehealth.pharmabest.ca/,Toronto
49,Rylander Pharmasave,Pharmacy Immunization Site,-79.148074795,43.798573896,"6758 Kingston Rd., Unit 8",Toronto,ON,416-281-4223,https://pharmasave.com/scarborough-rylander/,Toronto
50,Sam's I.D.A. Pharmacy,Pharmacy Immunization Site,-79.39727693499999,43.698770881,1920 Yonge Street,Toronto,ON,416-483-3003,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/sams-ida-pharmacy-7008620,Toronto
51,Pharmasave (PHF 307-1),Pharmacy Immunization Site,-79.403617352,43.665282022,"720 Spadina Ave, Unit 100",Toronto,ON,416-929-7200,https://spadinamedicalpharmacy.medmeapp.ca/schedule,Toronto
52,Snowden Pharmacy,Pharmacy Immunization Site,-79.40039575599999,43.667615656,264 Bloor St. W,Toronto,ON,416-922-2156,https://www.snowdoncompounding.com/,Toronto
53,City Pharmacy Remedy's Rx,Pharmacy Immunization Site,-79.355405335,43.677139691,238 Danforth Avenue,Toronto,ON,416-469-1898,https://www.remedys.ca/en/ontario/toronto/city-pharmacy-remedysrx-7018322,Toronto
54,Bathurst Wilson IDA Pharmacy,Pharmacy Immunization Site,-79.43658011399999,43.737225285,322 Wilson Ave,Toronto,ON,416-638-1755,https://www.guardian-ida-pharmacies.ca/en/ontario/downsview/bathurst-wilson-i-d-d-d-a-d-pharmacy-7014507,Toronto
55,ARIA PHARMACY,Pharmacy Immunization Site,-79.417779991,43.792959377,11 NEWTON DR,Toronto,ON,647-716-5663,https://ariapharmacy.ca/,Toronto
56,CLINICPLUS I.D.A. PHARMACY,Pharmacy Immunization Site,-79.488544014,43.637790316,"10 NEIGHBOURHOOD LANE, UNIT 103",Toronto,ON,416-232-0018,https://www.guardian-ida-pharmacies.ca/en/ontario/etobicoke/clinic-plus-pharmacy-7035501,Toronto
57,THE MEDICINE SHOPPE PHARMACY # 134,Pharmacy Immunization Site,-79.473005864,43.690839184,2600 EGLINTON AVE WEST,Toronto,ON,416-651-6511,https://www.medicineshoppe.ca/en/ontario/toronto/the-medicine-shoppe-pharmacy-134-7014226,Toronto
58,People's Choice RemedysRx,Pharmacy Immunization Site,-79.199175559,43.801243998,1145 Morningside Ave. Unit#16,Toronto,ON,647-748-7337,https://www.peopleschoicepharmacies.com/,Toronto
59,Kennedy Road Pharmacy,Pharmacy Immunization Site,-79.28401762599999,43.771982426,"2 Antrim Crescent, Unit 4",Toronto,ON,416-298-2222,https://idapharmacytoronto.ca/,Toronto
60,East York Pharmasave,Pharmacy Immunization Site,-79.32676340099999,43.69015940100001,840 Coxwell Ave. #102,Toronto,ON,416-613-9511,https://pharmasave.com/toronto-east-york/,Toronto
61,Lefko Pharmasave #794,Pharmacy Immunization Site,-79.467380913,43.730803868,842 Wilson Ave,Toronto,ON,416-635-6802,https://ps794.medmeapp.ca/schedule,Toronto
62,One Eva,Pharmacy Immunization Site,-79.56306624699999,43.639469453,1 Eva Road,Toronto,ON,416-628-5793,https://1evapharmacy.ca/,Toronto
63,Lawrence Pharmacy,Pharmacy Immunization Site,-79.26148795,43.751692831,2683 Lawrence Ave E,Toronto,ON,416-750-4691,https://www.remedys.ca/en/ontario/scarborough/lawrence-pharmacy-7016574?utm_source=Google&utm_medium=maps&utm_campaign=Local_Presence,Toronto
64,Keele-Ingram Pharmacy,Pharmacy Immunization Site,-79.47550433799999,43.698959775,2221 Keele Street,Toronto,ON,416-247-8618,https://www.pharmachoice.com/locations/keele-ingram/,Toronto
65,LOBLAWS INC RCSS2800 RX DSP,Pharmacy Immunization Site,-79.53385064299999,43.709950033,2549 WESTON RD,Toronto,ON,416-246-1417,https://www.realcanadiansuperstore.ca/covid19,Toronto
66,Shoppers Drug Mart 857,Pharmacy Immunization Site,-79.565240884,43.711375082,123 Rexdale Blvd,Toronto,ON,416-743-1645,https://www.shoppersdrugmart.ca/covid19,Toronto
67,Shoppers Drug Mart 859,Pharmacy Immunization Site,-79.24765016000001,43.736523524,2751 Eglinton Ave E,Toronto,ON,416-267-8211,https://www.shoppersdrugmart.ca/covid19,Toronto
68,Wal-Mart Pharmacy #3159,Pharmacy Immunization Site,-79.293906187,43.727477033,1900 EGLINTON AVE E,Toronto,ON,416-615-2702,https://www.walmart.ca,Toronto
69,Shoppers Drug Mart 1322,Pharmacy Immunization Site,-79.375430592,43.669960976,"565 SHERBOURNE STREET, UNIT 40",Toronto,ON,416-963-9495,https://www.shoppersdrugmart.ca/covid19,Toronto
70,LOBLAWS INC FORT4165 RX DSP,Pharmacy Immunization Site,-79.596042772,43.721575079,330 QUEENS PLATE DR,Toronto,ON,416-745-2825,https://fortinos.ca/covid19,Toronto
71,Welcome Guardian Drugs (Roncesvalles),Pharmacy Immunization Site,-79.447412719,43.643375049,137 Roncesvalles Avenue,Toronto,ON,416-533-2088,https://roncesvallesguardianpharmacy.com/,Toronto
72,Healing Source Pharmacy,Pharmacy Immunization Site,-79.47579016,43.651021745,2209 Bloor St West,Toronto,ON,416-769-1717,https:\www.healingsourcepharmacy.ca,Toronto
73,Metro Drugs,Pharmacy Immunization Site,-79.376156857,43.656558446,129 Dundas St E,Toronto,ON,416-363-7300,https:\www.metrodrugs.ca,Toronto
74,Beaches Pharmacy,Pharmacy Immunization Site,-79.30145772199999,43.669556461,1967 Queen St East,Toronto,ON,416-699-4999,https:\www.Pharmasave.com,Toronto
75,Friendly Care West King Pharmacy,Pharmacy Immunization Site,-79.522437686,43.702148362,2077 Weston Rd.,Toronto,ON,416-248-4485,https:\www.westkingpharmacy.com,Toronto
76,Greendale Drugs,Pharmacy Immunization Site,-79.374563176,43.663087211,152 Carlton Street,Toronto,ON,416-967-6610,https:\www.CareandCure.com,Toronto
77,Victoria Commons Pharmacy,Pharmacy Immunization Site,-79.321139532,43.7729758,"2555 Victoria Park Ave, Unit 6",Toronto,ON,416-551-7237,https:\www.viccomhealth.com,Toronto
78,Well+Good Pharmacy,Pharmacy Immunization Site,-79.381251539,43.667222854,557 Church St,Toronto,ON,416-532-5007,https:\www.wellandgoodpharmacy.com,Toronto
79,Ava Pharmacy,Pharmacy Immunization Site,-79.390361502,43.688674585,81 St Clair Ave East unit 220,Toronto,ON,416-962-2111,https:\www.avapharmacy.ca,Toronto
80,Lapsley Pharmacy,Pharmacy Immunization Site,-79.22635893899999,43.79570521,27 Lapsley Rd,Toronto,ON,416-291-3773,,Toronto
81,I CARE Pharmacy Services,Pharmacy Immunization Site,-79.35148187199999,43.706587121,"2 Thorncliffe Park Drive, Unit 26-27",Toronto,ON,647-885-4045,,Toronto
82,Islington Medical Pharmacy,Pharmacy Immunization Site,-79.523504428,43.645927948,1243 Islington Ave,Toronto,ON,416-239-1243,https://www.islingtonmedicalpharmacy.com,Toronto
83,Markham Corners Pharmacy,Pharmacy Immunization Site,-79.239299479,43.792608081,5113 Sheppard Ave E,Toronto,ON,647-349-8383,https://www.markhamcornersmedical.ca,Toronto
84,Pharmacare Drug Mart,Pharmacy Immunization Site,-79.35756142800001,43.680738054,891 Broadview Ave,Toronto,ON,416-424-1242,https://www.pharmacaredrugmart.ca,Toronto
85,Symington Pharmacy,Pharmacy Immunization Site,-79.45123237200001,43.666461336,333 Symington Ave,Toronto,ON,416-533-9695,https://www.symingtonpharmacy.ca,Toronto
86,Victoria Park Pharmacy,Pharmacy Immunization Site,-79.29841231,43.713888577,1314 Victoria Park Ave.,Toronto,ON,416-752-0888,https://www.victoriaparkpharmacy.com,Toronto
87,Mortar + Pestle Compounding Pharmacy,Pharmacy Immunization Site,-79.470290061,43.652156726,1997 Bloor Street West,Toronto,ON,416-901-8020,https://www.mortarpestle.ca,Toronto
88,Forest Hill Pharmacy,Pharmacy Immunization Site,-79.412848278,43.70345502,491 Eglinton Ave W #102,Toronto,ON,416-619-7768,https://www.foresthillpharmacy.com,Toronto
89,Markland Wood Pharmacy,Pharmacy Immunization Site,-79.575912497,43.630990801,4335 Bloor Street West,Toronto,ON,416-621-2000,https://www.marklandwoodpharmacy.ca,Toronto
90,Shoppers Drug Mart 1483,Pharmacy Immunization Site,-79.576687818,43.641675456,666 Burnhamthorpe Rd.,Toronto,ON,416-620-4867,https://www.shoppersdrugmart.ca/covid19,Toronto
91,Shoppers Drug Mart 1253,Pharmacy Immunization Site,-79.43903923000001,43.63990348,1473 Queen St. West,Toronto,ON,416-530-2799,https://www.shoppersdrugmart.ca/covid19,Toronto
92,Shoppers Drug Mart 1362,Pharmacy Immunization Site,-79.41943856,43.643752883,"1033 QUEEN STREET WEST, UNIT A",Toronto,ON,416-516-5756,https://www.shoppersdrugmart.ca/covid19,Toronto
93,Shoppers Drug Mart 1441,Pharmacy Immunization Site,-79.380352309,43.650367452,333 Bay St.,Toronto,ON,416-304-1151,https://www.shoppersdrugmart.ca/covid19,Toronto
94,Shoppers Drug Mart 855,Pharmacy Immunization Site,-79.222824988,43.809178666,1400 Neilson Rd.,Toronto,ON,416-754-3130,https://www.shoppersdrugmart.ca/covid19,Toronto
95,Shoppers Simply Pharmacy 3017,Pharmacy Immunization Site,-79.355407468,43.676607878,"235 DANFORTH AVE, UNIT 101",Toronto,ON,416-778-7780,https://www.shoppersdrugmart.ca/covid19,Toronto
96,HealthSmart Pharmasave,Pharmacy Immunization Site,-79.267103937,43.732081947,2425 Eglinton Ave. E. #10,Toronto,ON,416-759-0000,https://www.healthsmartpharmasave.com,Toronto
97,Pharmasave Cedarcourt Pharmacy,Pharmacy Immunization Site,-79.226951304,43.759797121,3480 Lawrence Avenue East,Toronto,ON,416-289-0000,https://www.pharmasave.com,Toronto
98,Sanomed Pharmacy & compounding Centre,Pharmacy Immunization Site,-79.38791166,43.665397383,1000 Bay st,Toronto,ON,416-923-7770,https://www.sanomedpharmacy.com,Toronto
99,Green pharmacy,Pharmacy Immunization Site,-79.414188927,43.664734947,620A Bloor street west,Toronto,ON,416-530-4004,https://www.pharmachoice.com,Toronto
100,Junction Chemist Pharmacy,Pharmacy Immunization Site,-79.47396059499999,43.665282387,17 St. Johns Rd,Toronto,ON,647-748-3784,https://www.junctionchemist.ca,Toronto
101,GLENCADE PHARMACY,Pharmacy Immunization Site,-79.561801833,43.634647842,"290 THE WEST MALL ETOBICOKE, ON M9C1C6",Toronto,ON,416-622-2111,https://www.GLENCADEPHARMACY.CA,Toronto
102,Toronto East Pharmasave,Pharmacy Immunization Site,-79.32495078100001,43.689823411,"825 Coxwell Ave. #C114, Toronto, Ontario",Toronto,ON,416-778-1221,https://www.tepharmasave.com,Toronto
103,Wal-Mart Pharmacy #1080,Pharmacy Immunization Site,-79.254408509,43.833404957,5995 STEELES AVE E,Toronto,ON,416-298-2578,https://www.walmart.ca,Toronto
104,Wal-Mart Pharmacy #3000,Pharmacy Immunization Site,-79.292249459,43.783929916,3850 SHEPPARD AVE E,Toronto,ON,416-293-2429,https://www.walmart.ca,Toronto
105,Shoppers Drug Mart 872,Pharmacy Immunization Site,-79.42232389,43.79617064,6428 Yonge St.,Toronto,ON,416-223-6250,https://www.shoppersdrugmart.ca/covid19,Toronto
106,Shoppers Drug Mart 985,Pharmacy Immunization Site,-79.37975059199999,43.646291957,200 Bay St.,Toronto,ON,416-865-0001,https://www.shoppersdrugmart.ca/covid19,Toronto
107,Shoppers Drug Mart 1509,Pharmacy Immunization Site,-79.322096922,43.7750538,2901 Sheppard Ave. East,Toronto,ON,416-491-4444,https://www.shoppersdrugmart.ca/covid19,Toronto
108,Birchmount & Sheppard Scarborough Rexall,Pharmacy Immunization Site,-79.298450999,43.780462274,3607 Sheppard Avenue East,Toronto,ON,416-291-0402,https://www.rexall.ca,Toronto
109,Shoppers Drug Mart 1162,Pharmacy Immunization Site,-79.50233816799999,43.773410091,"4700 KEELE STREET, YORK LANES",Toronto,ON,416-514-0993,https://www.shoppersdrugmart.ca/covid19,Toronto
110,Shoppers Drug Mart 1313,Pharmacy Immunization Site,-79.377937316,43.714154464,"1860 BAYVIEW AVENUE, UNIT 101",Toronto,ON,416-482-9841,https://www.shoppersdrugmart.ca/covid19,Toronto
111,Shoppers Drug Mart 800,Pharmacy Immunization Site,-79.223913229,43.760682884,629 Markham Rd,Toronto,ON,416-439-2121,https://www.shoppersdrugmart.ca/covid19,Toronto
112,"Church & Front, Toronto Rexall",Pharmacy Immunization Site,-79.373867394,43.64817414,63 Front Street East,Toronto,ON,416-607-6387,https://www.rexall.ca,Toronto
113,Shoppers Drug Mart 919,Pharmacy Immunization Site,-79.444456887,43.791134191,6205 Bathurst St.,Toronto,ON,416-222-5464,https://www.shoppersdrugmart.ca/covid19,Toronto
114,Shoppers Drug Mart 881,Pharmacy Immunization Site,-79.451467173,43.726070444,3401 DUFFERIN ST.,Toronto,ON,416-789-1201,https://www.shoppersdrugmart.ca/covid19,Toronto
115,Wal-Mart Pharmacy #1004,Pharmacy Immunization Site,-79.48530166099999,43.668058323,2525 ST CLAIR AVE W,Toronto,ON,416-763-1867,https://www.walmart.ca,Toronto
116,Wal-Mart Pharmacy #3111,Pharmacy Immunization Site,-79.200127241,43.797555284,799 MILNER AVE,Toronto,ON,416-281-4643,https://www.walmart.ca,Toronto
117,Metro Pharmacy #537,Pharmacy Immunization Site,-79.288695805,43.690633629,3003 Danforth Avenue,Toronto,ON,416-686-8484,https://www.metro.ca/pharmacy,Toronto
118,North York City Centre Rexall,Pharmacy Immunization Site,-79.413067543,43.768869836,5150 Yonge Street,Toronto,ON,416-226-6442,https://www.rexall.ca,Toronto
119,Shoppers Drug Mart 1399,Pharmacy Immunization Site,-79.152335853,43.796762059,"91 Rylander Blvd., Unit 1022",Toronto,ON,416-724-5344,https://www.shoppersdrugmart.ca/covid19,Toronto
120,Shoppers Drug Mart 945,Pharmacy Immunization Site,-79.379370553,43.647214431,181 BAY ST,Toronto,ON,416-777-1300,https://www.shoppersdrugmart.ca/covid19,Toronto
121,Shoppers Drug Mart 1005,Pharmacy Immunization Site,-79.422103494,43.640246732,1090 King St. West,Toronto,ON,416-977-4101,https://www.shoppersdrugmart.ca/covid19,Toronto
122,Shoppers Drug Mart 1408,Pharmacy Immunization Site,-79.38868472599999,43.669632591,55 Bloor St. West,Toronto,ON,416-925-6949,https://www.shoppersdrugmart.ca/covid19,Toronto
123,Brunswick House Rexall,Pharmacy Immunization Site,-79.40711720900001,43.66575379,481 Bloor Street W,Toronto,ON,416-929-8213,https://www.rexall.ca,Toronto
124,Greenwin Square Toronto Rexall,Pharmacy Immunization Site,-79.37797600899999,43.671534273,"345 Bloor Street., Unit 3",Toronto,ON,416-923-5962,https://www.rexall.ca,Toronto
125,Shoppers Drug Mart 915,Pharmacy Immunization Site,-79.312836584,43.705956122,812 O'Connor Dr.,Toronto,ON,416-285-5822,https://www.shoppersdrugmart.ca/covid19,Toronto
126,Dundas & Spadina Rexall,Pharmacy Immunization Site,-79.397614976,43.653224865,285 Spadina Avenue,Toronto,ON,416-596-1602,https://www.rexall.ca,Toronto
127,Shoppers Drug Mart 993,Pharmacy Immunization Site,-79.40233269300001,43.647793818,524 Queen St. West,Toronto,ON,416-703-0228,https://www.shoppersdrugmart.ca/covid19,Toronto
128,Keele/Wilson Toronto Rexall,Pharmacy Immunization Site,-79.482684917,43.725854216,1115 Wilson Avenue,Toronto,ON,416-633-4366,https://www.rexall.ca,Toronto
129,Shoppers Drug Mart 837,Pharmacy Immunization Site,-79.519824058,43.661773238,270 The Kingsway,Toronto,ON,416-233-1155,https://www.shoppersdrugmart.ca/covid19,Toronto
130,Shoppers Drug Mart 860,Pharmacy Immunization Site,-79.258018709,43.776283247,300 Borough Dr.,Toronto,ON,416-296-5056,https://www.shoppersdrugmart.ca/covid19,Toronto
131,Shoppers Drug Mart 814,Pharmacy Immunization Site,-79.303721056,43.688029383,2494 Danforth Ave.,Toronto,ON,416-698-1888,https://www.shoppersdrugmart.ca/covid19,Toronto
132,Yonge/Melrose Toronto Rexall,Pharmacy Immunization Site,-79.40450848099999,43.732985241,3402 Yonge Street,Toronto,ON,416-544-0746,https://www.rexall.ca,Toronto
133,Lakeshore/37th Etobicoke Rexall,Pharmacy Immunization Site,-79.538427408,43.59298971,3701 Lakeshore Blvd West,Toronto,ON,416-259-3777,https://www.rexall.ca,Toronto
134,Shoppers Drug Mart 879,Pharmacy Immunization Site,-79.462660915,43.692636694,2343 Eglinton Ave. West,Toronto,ON,416-651-7111,https://www.shoppersdrugmart.ca/covid19,Toronto
135,Hazelton Lanes Rexall,Pharmacy Immunization Site,-79.39518526499999,43.672016671,87 Avenue Road,Toronto,ON,416-922-5555,https://www.rexall.ca,Toronto
136,Shoppers Drug Mart 1421,Pharmacy Immunization Site,-79.48305682,43.623107417,2206 Lake Shore Blvd. West,Toronto,ON,416-259-1330,https://www.shoppersdrugmart.ca/covid19,Toronto
137,Gerrard & Victoria - Sobeys,Pharmacy Immunization Site,-79.28492713200001,43.687900873,2490 Gerrard St. East,Toronto,ON,416-698-2060,https://www.pharmacyappointments.ca/,Toronto
138,LOBLAWS INC LOB1079 RX DSP,Pharmacy Immunization Site,-79.36987821300001,43.644490468,10 LOWER JARVIS ST,Toronto,ON,416-304-0619,https://www.loblaws.ca/covid19,Toronto
139,LOBLAWS INC RCSS1077 RX DSP,Pharmacy Immunization Site,-79.33896238,43.722006661,825 DON MILLS RD,Toronto,ON,416-391-4847,https://www.realcanadiansuperstore.ca/covid19,Toronto
140,LOBLAWS INC NF4222 RX DSP,Pharmacy Immunization Site,-79.440695371,43.649553325,222 LANSDOWNE AVE,Toronto,ON,416-588-7744,https://www.nofrills.ca/covid19,Toronto
141,LOBLAWS INC LOB1066 RX DSP,Pharmacy Immunization Site,-79.55959941499999,43.64396199,380 THE EAST MALL,Toronto,ON,416-695-0610,https://www.loblaws.ca/covid19,Toronto
142,LOBLAWS INC LOB1019 RX DSP,Pharmacy Immunization Site,-79.387294897,43.768619355,2877 BAYVIEW AVE,Toronto,ON,416-733-1350,https://www.loblaws.ca/covid19,Toronto
143,No Frills,Pharmacy Immunization Site,-79.310406489,43.742447141,1450 LAWRENCE AVE E,Toronto,ON,416-752-0135,https://www.nofrills.ca/covid19,Toronto
144,LOBLAWS INC LOB1099 RX DSP,Pharmacy Immunization Site,-79.495866925,43.66543417,3671 DUNDAS ST W,Toronto,ON,416-769-5570,https://www.loblaws.ca/covid19,Toronto
145,LOBLAWS INC LOB1154 RX DSP,Pharmacy Immunization Site,-79.45054238,43.654817881,2280 DUNDAS ST W,Toronto,ON,416-533-0770,https://www.loblaws.ca/covid19,Toronto
