idx,facility_name,facility_type,health_authority,longitude,latitude,street_addr,city,province,phone,provider
19,HEW Primary Health Care Centre,Medical Clinic,Interlake-Eastern,-96.520517,50.060981,31 First St S Box 1208,Beausejour,MB,204-268-2288,Province of Manitoba
20,The Pindea Clinic,Medical Clinic,Northern,-101.252521,53.822718,320 Fischer Ave Box 2560,The Pas,MB,204-623-5443,Province of Manitoba
21,Our Own Health Centre - 2SLGBTQ Services,Medical Clinic,Winnipeg,-97.140631,49.875702,A 230 Osborne St,Winnipeg,MB,204-417-1300,Province of Manitoba
22,Southdale Medical Centre,Medical Clinic,Winnipeg,-97.07562900000001,49.854336,45 Vermillion Rd,Winnipeg,MB,204-253-6762,Province of Manitoba
23,Winnipeg Clinic,Medical Clinic,Winnipeg,-97.148081,49.889395,425 St Mary Ave,Winnipeg,MB,204-957-3210,Province of Manitoba
24,Stafford Medical Clinic,Medical Clinic,Winnipeg,-97.15783079999994,49.86320510000007,100 395 Stafford St,Winnipeg,MB,204-272-3252,Province of Manitoba
25,Health Sciences Centre ID Clinic,Medical Clinic,Winnipeg,-97.158445,49.904565,GD122 700 William Ave,Winnipeg,MB,204-787-7188,Province of Manitoba
26,Skinwise Dermatology,Medical Clinic,Winnipeg,-97.166034,49.852111,6 1170 Taylor Ave,Winnipeg,MB,204-227-5185,Province of Manitoba
27,Beausejour Guardian Pharmacy,Pharmacy,Interlake-Eastern,-96.514734,50.062312,635 Park Ave,Beausejour,MB,204-268-2323,Province of Manitoba
28,Medina Medical Center & Pharmacy,Medical Clinic,Winnipeg,-97.11191883499998,49.85616876600005,715 St Mary's Rd,Winnipeg,MB,204-256-2415,Province of Manitoba
29,Dr. D. Kahanovitch,Medical Clinic,Winnipeg,-97.14658799999999,49.894665,203 355 Ellice Ave,Winnipeg,MB,204-943-7861,Province of Manitoba
30,Quick Care Clinic Vermillion,Medical Clinic,Winnipeg,-97.071656,49.854408,170 115 Vermillion Rd,Winnipeg,MB,204-940-8319,Province of Manitoba
31,Sunshine Medical Clinic,Medical Clinic,Winnipeg,-97.07653119999998,49.85417590000003,35 Lakewood Blvd,Winnipeg,MB,204-220-1062,Province of Manitoba
32,QuickCare West Portage,Medical Clinic,Winnipeg,-97.292339,49.881127,3250 Portage Ave,Winnipeg,MB,204-940-8453,Province of Manitoba
33,Mobile Medical Clinic (Interlake-Eastern),Medical Clinic,Interlake-Eastern,-96.902557,50.157517,3 1020 Manitoba Ave,Selkirk,MB,204-785-9761,Province of Manitoba
34,Jefferson QuickCare Clinic,Medical Clinic,Winnipeg,-97.15842000000001,49.945318,104 930 Jefferson Ave,Winnipeg,MB,204-940-8508,Province of Manitoba
35,Trucare Medical Clinic and Walk in,Medical Clinic,Winnipeg,-97.15673769999995,49.94380540000003,B 1450 McPhillips St,Winnipeg,MB,204-691-0688,Province of Manitoba
36,DC Obstetrics & Gynecology Group,Medical Clinic,Winnipeg,-97.126625,49.882154,47 Marion St,Winnipeg,MB,204-925-3606,Province of Manitoba
37,Health Hub Medical Clinic,Medical Clinic,Winnipeg,-97.19987159999994,49.84303150000005,101 1020 Lorimer Blvd,Winnipeg,MB,204-869-1915,Province of Manitoba
38,United Medical Clinic,Medical Clinic,Winnipeg,-97.154177,49.906843,940 Sherbrook St,Winnipeg,MB,204-615-7700,Province of Manitoba
39,Bei Jing Medical Centre,Medical Clinic,,,,A 2810 Pembina Hwy,Winnipeg,MB,,Province of Manitoba
40,OSI Clinic - Deer Lodge Centre,Medical Clinic,Winnipeg,-97.23646737299998,49.87860993800007,2nd Floor 215 Duffield St,Winnipeg,MB,204-831-2132,Province of Manitoba
41,Swan Valley Primary Care Centre,Medical Clinic,Prairie Mountain Health,-101.2612551999999,52.10567510000004,1000 Main St Box 1480,Swan River,MB,204-734-6600,Province of Manitoba
42,Bond Medical Centre,Medical Clinic,Winnipeg,-97.006818,49.894834,B 218 Regent Ave W,Winnipeg,MB,204-615-0833,Province of Manitoba
43,East St. Paul Medical Centre,Medical Clinic,Winnipeg,-97.05788029999997,49.97340960000008,2665 Henderson Hwy,East St Paul,MB,204-615-9000.,Province of Manitoba
44,Tiger Hills Medical Associates,Medical Clinic,Prairie Mountain Health,-98.69819189999998,49.63346480000007,64 Clark St Box 191,Treherne,MB,204-723-2095,Province of Manitoba
45,BenefitsRx Pharmacy,Pharmacy,Southern Health-Santé Sud,-98.00205699999999,49.506257,66 Main St S,Carman,MB,204-745-2781,Province of Manitoba
46,Dr. Harvey B. Lee Medical Clinic - Medical Arts Building Branch,Medical Clinic,Winnipeg,-97.147158,49.890339,711 233 Kennedy St,Winnipeg,MB,204-953-1260,Province of Manitoba
47,Melita Medical Clinic,Medical Clinic,Prairie Mountain Health,-100.995632,49.27152,147 Summit St Box 459,Melita,MB,204-522-8353,Province of Manitoba
48,Mobile Medical Clinic (Prairie Mountain - Dauphin),Medical Clinic,Prairie Mountain Health,-100.607848,50.444174,25 Industrial Rd,Dauphin,MB,204-447-4080,Province of Manitoba
49,Henderson Highway Medical Clinic,Medical Clinic,Winnipeg,-97.085707,49.944584,A 1417 Henderson Hwy,Winnipeg,MB,204-333-5094,Province of Manitoba
50,LifeSmart Medical Seven Oaks,Medical Clinic,Winnipeg,-97.117009,49.939054,1840 Main St,Winnipeg,MB,204-416-5433,Province of Manitoba
51,Seine River Medical Centre,Medical Clinic,Winnipeg,-97.08133669999995,49.81884860000008,Unit 6 980 St Anne's Rd,Winnipeg,MB,204-294-0235,Province of Manitoba
52,Bison Family Medical Clinic on Pembina,Medical Clinic,Winnipeg,-97.15093459999997,49.82882430000006,1686 Pembina Hwy,Winnipeg,MB,204-202-1223,Province of Manitoba
53,Chalmers Community Medical Clinic,Medical Clinic,Winnipeg,-97.104617,49.911369,D 359 Johnson Ave W,Winnipeg,MB,204-414-2944,Province of Manitoba
54,Dr. F. Sikora - Winnipeg Clinic,Medical Clinic,Winnipeg,-97.148081,49.889395,3rd Floor 425 St Mary Ave,Winnipeg,MB,204-957-3217,Province of Manitoba
55,East Parkland Medical Group,Medical Clinic,Prairie Mountain Health,-99.523066,51.059418,603 1st Ave E,Ste Rose,MB,204-447-2089,Province of Manitoba
56,Pine Falls Primary Care Clinic,Medical Clinic,Interlake-Eastern,-96.21474000000001,50.563039,37 Maple St,Pine Falls,MB,204-367-4612,Province of Manitoba
57,Panacea Medical Clinic,Medical Clinic,Winnipeg,-97.11187869999998,49.83525070000007,Unit 3 620 Dakota St,Winnipeg,MB,204-255-1135,Province of Manitoba
58,Southend Medical & Walk-in,Medical Clinic,Winnipeg,-97.10904619999997,49.82622450000008,30 166 Meadowood Dr,Winnipeg,MB,204-691-6337,Province of Manitoba
59,Portage West Medical Centre,Medical Clinic,Winnipeg,-97.29230579999995,49.88121590000003,3250 Portage Ave,Winnipeg,MB,204-509-1912,Province of Manitoba
60,Bridgewater Medical Centre,Medical Clinic,Winnipeg,-97.19629312999996,49.79840435500006,510 350 North Town Rd,Winnipeg,MB,204-261-8484,Province of Manitoba
61,Emerson Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-97.009578,49.065605,26 Main St Box 428,Emerson,MB,204-373-2616,Province of Manitoba
62,Parkview Professional Centre - Dr. Askarifar's Medical Corporation,Medical Clinic,Winnipeg,-97.10993859999996,49.94789790000004,107 2110 Main St,Winnipeg,MB,204-338-7941,Province of Manitoba
63,Dr. Hughes Family Practice and Walk-In,Medical Clinic,Southern Health-Santé Sud,-96.987764,49.70996,102 430 Main St,Ile Des Chenes,MB,204-253-6762-2,Province of Manitoba
64,Nearby Medical Clinic,Medical Clinic,Winnipeg,-97.28810143699997,49.88216828900005,Inside Superstore 3193 Portage Ave,Winnipeg,MB,204-888-8808,Province of Manitoba
65,First Circle Health Centre,Medical Clinic,Winnipeg,-97.21693999999999,49.894395,1880 Ellice Ave,Winnipeg,MB,204-775-2400,Province of Manitoba
66,Marion Medical Centre,Medical Clinic,Winnipeg,-97.120552,49.881333,172 Marion St,Winnipeg,MB,204-231-1900,Province of Manitoba
67,Powerview Clinic,Medical Clinic,Interlake-Eastern,-95.225829,49.750209,Highway 59 N,Traverse Bay,MB,204-367-2278,Province of Manitoba
68,Mobile Medical Clinic (WRHA),Medical Clinic,Winnipeg,-97.14678600000001,49.915983,542 Selkirk Ave,Winnipeg,MB,204-977-6898,Province of Manitoba
69,Natawiwewak Medical Clinic,Medical Clinic,Winnipeg,-97.14658799999999,49.894665,102 355 Ellice Ave,Winnipeg,MB,204-505-0177,Province of Manitoba
70,OYA Medical Center,Medical Clinic,Winnipeg,-97.07085309999997,49.85435050000007,170 115 Vermillion Rd,Winnipeg,MB,204-255-3109,Province of Manitoba
71,Gimli Community Health Centre,Medical Clinic,Interlake-Eastern,-96.99398770000001,50.62792010000004,120 6th Ave Box 250,Gimli,MB,204-890-4790,Province of Manitoba
72,Seasons Medical Centre,Medical Clinic,Winnipeg,-97.21628629999998,49.84286280000003,6 655 Sterling Lyon Pky,Winnipeg,MB,204-219-1060,Province of Manitoba
73,D Hartley Medical Corporation,Medical Clinic,Winnipeg,-97.284569,49.880851,D 3111 Portage Ave,Winnipeg,MB,204-795-2666,Province of Manitoba
74,LifeSmart Medical (Osborne),Medical Clinic,Winnipeg,-97.14055729999995,49.87572740000007,Unit 2a 230 Osborne St,Winnipeg,MB,204-287-5220,Province of Manitoba
75,Waterford Medical & Walk-in,Medical Clinic,Winnipeg,-97.19694062999997,49.95575397700003,F1 55 Waterford Green Common,Winnipeg,MB,204-219-3565,Province of Manitoba
76,Kingsbury Family Medical Centre,Medical Clinic,Winnipeg,-97.15276449999999,49.95236290000003,7 1099 Kingsbury Ave,Winnipeg,MB,204-615-8550,Province of Manitoba
77,Minor Injury and Illness Clinic,Medical Clinic,Winnipeg,-97.16334879999994,49.86771760000005,102 1001 Corydon Ave,Winnipeg,MB,431-222-2273,Province of Manitoba
78,Rusk Medical Corporation,Medical Clinic,Winnipeg,-97.089184,49.873535,54 Leonard Shakespear Bay,Winnipeg,MB,204-998-9874,Province of Manitoba
79,Prota Clinic,Medical Clinic,Winnipeg,-97.20052338599999,49.84593969800005,4 930 Lorimer Blvd,Winnipeg,MB,204-837-7682,Province of Manitoba
80,Easton Place Clinic,Medical Clinic,Interlake-Eastern,-96.88601679999994,50.16153330000003,15 Wersch St Box 63,Selkirk,MB,204-482-4044,Province of Manitoba
81,Henderson Medical Centre,Medical Clinic,Winnipeg,-97.111287,49.919218,B 441 Henderson Hwy,Winnipeg,MB,204-415-2740,Province of Manitoba
82,Regent West Medical Centre,Medical Clinic,Winnipeg,-97.06564949999995,49.89889040000003,2 1579 Regent Ave W,Winnipeg,MB,204-221-4414,Province of Manitoba
83,Centre de bien-etre St. Claude and Haywood Wellness Centre (St. Claude Clinic),Medical Clinic,Southern Health-Santé Sud,-98.34484147999996,49.65349427700005,109 Aspen Ave S Box 269,St Claude,MB,204-379-2281,Province of Manitoba
84,Vaniru Medical Centre,Medical Clinic,Winnipeg,-97.169083,49.914228,1200A 305 McPhillips St,Winnipeg,MB,0,Province of Manitoba
85,Red Door Medical Clinic,Medical Clinic,Winnipeg,-97.095961,49.933715,1 2536 Main St,Winnipeg,MB,0,Province of Manitoba
86,Kalo Medical Clinic,Medical Clinic,Winnipeg,-97.06737379999998,49.90791040000005,201 1107 Munroe Ave,Winnipeg,MB,204-560-3585,Province of Manitoba
87,Ray of Hope Medical Centre,Medical Clinic,Winnipeg,-97.10196145699996,49.92923609300004,1 775 Henderson Hwy,Winnipeg,MB,204-800-2590,Province of Manitoba
88,Bioscript Pharmacy,Pharmacy,Winnipeg,-97.203383,49.880437,101 1661 Portage Ave,Winnipeg,MB,204-949-9555,Province of Manitoba
89,Boissevain Medical Clinic,Medical Clinic,Prairie Mountain Health,-100.0610414,49.22535330000005,305 Mill Rd Box 899,Boissevain,MB,204-534-3777,Province of Manitoba
90,Pure Lifestyle Ltd.,Medical Clinic,Winnipeg,-97.19465599999999,49.9007,1129 Empress St,Winnipeg,MB,204-338-7873,Province of Manitoba
91,The Derm Centre,Medical Clinic,Winnipeg,-97.178724,49.856614,1385 Grant Ave,Winnipeg,MB,204-474-1221,Province of Manitoba
92,Glenboro Medical Clinic,Medical Clinic,Prairie Mountain Health,-99.286754,49.559891,219 Murray Ave,Glenboro,MB,,Province of Manitoba
93,Sport Manitoba Clinic,Medical Clinic,Winnipeg,-97.13443353199995,49.90062947500007,145 Pacific Ave,Winnipeg,MB,204-925-5944,Province of Manitoba
94,Pembina Manitou Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-98.53496003799995,49.23673000200006,232 Carrie St,Manitou,MB,,Province of Manitoba
95,Hamiota Medical Clinic,Medical Clinic,Prairie Mountain Health,-100.5897444,50.18227030000003,177 Birch Ave E,Hamiota,MB,204-764-4218,Province of Manitoba
96,Happy Family Medical and walkin clinic,Medical Clinic,Winnipeg,-97.156182,49.80545360000008,Suite-203. 2385 Pembina Hwy,Winnipeg,MB,204-306-5181,Province of Manitoba
97,Home Health NP,Medical Clinic,Winnipeg,-97.08806199999999,49.958616,2595 Main St,Winnipeg,MB,,Province of Manitoba
98,The First Glance,Medical Clinic,Winnipeg,-97.20293916599996,49.85717750100008,1851 Grant Ave,Winnipeg,MB,,Province of Manitoba
99,inMotion Sports Medicine Clinic,Pharmacy,Winnipeg,-97.047900025,49.83370247300007,803 50 Sage Creek Blvd,Winnipeg,MB,,Province of Manitoba
100,Birth Centre - WHC,Medical Clinic,Winnipeg,-97.11113922199996,49.86319206200005,603 St Mary's Rd,Winnipeg,MB,,Province of Manitoba
101,Kin Place Primary Care (Medical Clinic),Medical Clinic,Interlake-Eastern,-96.84233262899994,49.94476734700004,689 Main St,Oakbank,MB,,Province of Manitoba
102,Scurfield Medical Centre,Medical Clinic,Winnipeg,-97.19904679999996,49.81523290000007,Unit 100 201 Scurfield Blvd,Winnipeg,MB,204-560-4288,Province of Manitoba
103,Medigroup Health Centre,Medical Clinic,Winnipeg,-97.20278082999994,49.82793056300005,14 1585 Kenaston Blvd,Winnipeg,MB,204-410-5200,Province of Manitoba
104,Otolaryngology Associates of Winnipeg,Medical Clinic,Winnipeg,-97.19977856499997,49.84309965300008,201 1020 Lorimer Blvd,Winnipeg,MB,204-943-0629,Province of Manitoba
105,University Health Services (Bannatyne),Medical Clinic,Winnipeg,-97.16035520099996,49.90423198900004,727 McDermot Ave,Winnipeg,MB,0,Province of Manitoba
106,SHSS Health Clinic,Medical Clinic,Southern Health-Santé Sud,-96.68701070099996,49.51609371400008,190 McKenzie Ave,Steinbach,MB,0,Province of Manitoba
107,Winnipeg Beach Primary Care Clinic,Medical Clinic,Interlake-Eastern,-96.96768980099995,50.49835570400006,54 Main St,Winnipeg Beach,MB,0,Province of Manitoba
108,Dr. Holly Hamilton Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-98.55792700099994,49.53303346900003,14 Provencher Rd Box 393,Notre Dame de Lourdes,MB,204-248-2743,Province of Manitoba
109,Birtle Pharmacy,Pharmacy,Prairie Mountain Health,-101.046646,50.422135,808 Main St,Birtle,MB,204-842-5333,Province of Manitoba
110,Boyd Medical Pharmacy,Pharmacy,Winnipeg,-97.147201,49.891977,384 Portage Ave,Winnipeg,MB,204-415-3709,Province of Manitoba
111,Brandon Clinic Pharmacy,Pharmacy,Prairie Mountain Health,-99.938467,49.840163,4 42 Mctavish Ave E,Brandon,MB,204-728-3642,Province of Manitoba
112,Brathwaites Pharmacy,Pharmacy,Winnipeg,-97.212098,49.883767,1772 Ness Ave,Winnipeg,MB,204-888-2618,Province of Manitoba
113,Bridgewater Pharmacy,Pharmacy,,,,3 405 Centre St,Winnipeg,MB,,Province of Manitoba
114,Brown's Drug Store,Pharmacy,Winnipeg,-97.114425,49.914157,239 Henderson Hwy,Winnipeg,MB,204-668-0793,Province of Manitoba
115,Canada Safeway 0719,Pharmacy,Winnipeg,-97.07309225399996,49.85405746400005,77 Vermillion Rd,Winnipeg,MB,204-257-1384-4,Province of Manitoba
116,Canada Safeway Pharmacy,Pharmacy,Winnipeg,-97.196826,49.93771,850 Keewatin St,Winnipeg,MB,204-694-4190,Province of Manitoba
117,Canadian Care Drugs Pharmacy,Pharmacy,Winnipeg,-97.11571196899996,49.93887922300007,1853 Main St,Winnipeg,MB,204-334-0101,Province of Manitoba
118,Care At Home,Pharmacy,Winnipeg,-97.286608,49.880398,1 3140 Portage Ave,Winnipeg,MB,204-691-6980,Province of Manitoba
119,Kildonan Medical Center,Medical Clinic,Winnipeg,-97.14886519999999,49.95517730000006,2300 Mcphillips St,Winnipeg,MB,204-632-3203,Province of Manitoba
120,Care Innova Medical Clinic,Medical Clinic,,,,878 Main St,Winnipeg,MB,,Province of Manitoba
121,Springfield Medical Clinic,Medical Clinic,Interlake-Eastern,-96.84202866899994,49.93981672000007,549 Main St,Oakbank,MB,204-444-5145,Province of Manitoba
122,Northgate Medical Centre,Medical Clinic,Winnipeg,-97.15911349999999,49.93987960000004,1353 Mc Phillips St,Winnipeg,MB,204-338-3155,Province of Manitoba
123,South Sherbrook Health Center,Medical Clinic,Winnipeg,-97.15991579999996,49.88129890000005,B 88 Sherbrook St,Winnipeg,MB,204-774-7196,Province of Manitoba
124,Arborg Pharmacy,Pharmacy,Interlake-Eastern,-97.21861800000001,50.907416,273 Main St Box 640,Arborg,MB,204-376-5153,Province of Manitoba
125,Northern Connection Medical Centre,Medical Clinic,Winnipeg,-97.145263,49.902322,LL 425 Elgin Ave,Winnipeg,MB,204-940-8225,Province of Manitoba
126,Trinity Medical Clinic,Medical Clinic,Prairie Mountain Health,-99.96146113599997,49.84446245000004,2 335 18th St,Brandon,MB,204-728-4141,Province of Manitoba
127,Prime - A Health Centre For Seniors,Medical Clinic,Winnipeg,-97.23651711799994,49.87768079000006,203 Duffield St,Winnipeg,MB,204-833-1711,Province of Manitoba
128,Dr A S Randunne & Dr S P Prematilake,Medical Clinic,Interlake-Eastern,-96.871773,50.141986,353 Eveline St,Selkirk,MB,204-482-3624,Province of Manitoba
129,Elemental Professional Health Centre,Medical Clinic,Winnipeg,-97.15054959999998,49.83172090000005,1600 Pembina Hwy,Winnipeg,MB,204-475-1600,Province of Manitoba
130,Archibald Medical Clinic,Medical Clinic,Winnipeg,-97.089192,49.87042,662 Elizabeth Rd,Winnipeg,MB,204-505-3058,Province of Manitoba
131,Western Medical Clinic Medical Corporation,Medical Clinic,Prairie Mountain Health,-99.97115039999994,49.842618,Unit B 2425 Victoria Ave,Brandon,MB,204-727-6451,Province of Manitoba
132,Tuxedo Family Medical Centre,Medical Clinic,Winnipeg,-97.18424549999997,49.86351830000007,1425 Corydon Ave,Winnipeg,MB,204-989-6048,Province of Manitoba
133,Archibald Pharmacy,Pharmacy,Winnipeg,-97.08965562099996,49.87047857800007,662 Elizabeth Rd,Winnipeg,MB,204-505-3060,Province of Manitoba
134,Dr C.W. Wiebe Medical Centre,Medical Clinic,Southern Health-Santé Sud,-97.93879300099996,49.18252266400003,385 Main St,Winkler,MB,204-331-2300,Province of Manitoba
135,Pritchard Farm Health Centre,Medical Clinic,Winnipeg,-97.04627902999994,49.98659617600003,5 3014 Henderson Hwy E,East St. Paul,MB,204-654-3333,Province of Manitoba
136,Aria Medical Centre,Medical Clinic,Winnipeg,-97.11389829999996,49.87228390000007,329 St Mary's Rd,Winnipeg,MB,204-505-0681,Province of Manitoba
137,Pan Am Clinic,Medical Clinic,Winnipeg,-97.172776,49.853498,75 Poseidon Bay,Winnipeg,MB,204-927-2644,Province of Manitoba
138,La Salle Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-97.26546891999999,49.69115392400005,3 49 Principale Rue,La Salle,MB,204-228-9808,Province of Manitoba
139,Bison Family Medical Clinic (Inside the Superstore),Medical Clinic,Winnipeg,-97.163622,49.800422,1 80 Bison Dr,Winnipeg,MB,204-275-1500,Province of Manitoba
140,Prime Misericordia Health Centre,Medical Clinic,Winnipeg,-97.160284,49.879625,Prime 99 Cornish Ave,Winnipeg,MB,204-789-2404,Province of Manitoba
141,Harmony Medical Centre,Medical Clinic,Prairie Mountain Health,-99.94636269999995,49.83543660000004,920 6th St,Brandon,MB,204-727-6464,Province of Manitoba
142,Spring Meadow Clinic,Medical Clinic,Winnipeg,-97.02415259999998,49.90990390000007,Unit 19 1783 Plessis Rd,Winnipeg,MB,204-417-0028,Province of Manitoba
143,Aria Pharmacy,Pharmacy,Winnipeg,-97.113843,49.872257,329 St Mary's Rd,Winnipeg,MB,204-231-1212,Province of Manitoba
144,Winnipegosis Clinic,Medical Clinic,Prairie Mountain Health,-99.93191319999994,51.64039960000008,230 Bridge St Box 339,Winnipegosis,MB,204-656-4492,Province of Manitoba
145,Pediatric Adolescent Cinic,Medical Clinic,Winnipeg,-97.11954,49.882201,102 200 Goulet St,Winnipeg,MB,204-943-7888,Province of Manitoba
146,Arlington Pharmacy,Pharmacy,Winnipeg,-97.168018,49.904478,909 Notre Dame Ave,Winnipeg,MB,204-505-5940,Province of Manitoba
147,Dr Asita Mehta,Medical Clinic,Winnipeg,-97.11951069399998,49.88229590800006,3rd Fl 200 Goulet St,Winnipeg,MB,204-231-3232,Province of Manitoba
148,St Norbert Medical Clinic,Medical Clinic,Winnipeg,-97.15284379999997,49.76504390000008,3554 Pembina Hwy,Winnipeg,MB,204-415-4844,Province of Manitoba
149,Norwest Co-op at Bluebird,Medical Clinic,Winnipeg,-97.194687,49.920322,100 97 Keewatin St,Winnipeg,MB,204-938-5900-1,Province of Manitoba
150,Arrowwood Medical Centre,Medical Clinic,Winnipeg,-97.03577319999994,49.94438910000008,2 925 Headmaster Row,Winnipeg,MB,204-615-4635,Province of Manitoba
151,Arrowwood Pharmacy,Pharmacy,Winnipeg,-97.035584,49.944545,2 925 Headmaster Row,Winnipeg,MB,204-615-4633,Province of Manitoba
152,Atlantic Medical Centre,Medical Clinic,Winnipeg,-97.16511239999994,49.93381370000003,1054 Mcphillips St,Winnipeg,MB,204-505-1580,Province of Manitoba
153,Dr. Shaker,Medical Clinic,Interlake-Eastern,-96.87132699999999,50.143333,(B) 210 Clandeboye Ave,Selkirk,MB,204-482-4525,Province of Manitoba
154,Dr Klassen,Medical Clinic,Winnipeg,-97.109916,49.947919,111 2110 Main St,Winnipeg,MB,204-338-7853,Province of Manitoba
155,Midcity Medical Centre and Walk-In Clinic,Medical Clinic,Winnipeg,-97.118381,49.881856,219 Marion St,Winnipeg,MB,204-989-2056,Province of Manitoba
156,Parkview Professional Centre,Medical Clinic,Winnipeg,-97.109916,49.947919,111 2110 Main St,Winnipeg,MB,204-338-7853,Province of Manitoba
157,Dr Habtu Demsas,Medical Clinic,Interlake-Eastern,-96.871773,50.141986,353 Eveline St,Selkirk,MB,204-785-7660,Province of Manitoba
158,Dr L.C. Bartlett,Medical Clinic,Winnipeg,-97.147158,49.890339,1620 233 Kennedy St,Winnipeg,MB,204-942-8388,Province of Manitoba
159,Baidwan Medical Clinic,Medical Clinic,Winnipeg,-97.16565300000001,49.893362,747 Ellice Ave,Winnipeg,MB,204-774-8530,Province of Manitoba
160,Ashern Medical Clinic,Medical Clinic,Interlake-Eastern,-98.35260100000001,51.180275,1 Steenson Dr Box 110,Ashern,MB,204-768-3404,Province of Manitoba
161,Dr Leroux & Dr Salib,Medical Clinic,Prairie Mountain Health,-101.262853,52.106674,1000 Main St Box 1828,Swan River,MB,204-734-3663,Province of Manitoba
162,Broadway Medical Clinic,Medical Clinic,Winnipeg,-97.16005699999999,49.887567,B 676 Portage Ave,Winnipeg,MB,204-775-7607,Province of Manitoba
163,Dr Gouda's Medical Clinic,Medical Clinic,Prairie Mountain Health,-101.264339,52.106427,3 900 Main St,Swan River,MB,204-734-2769,Province of Manitoba
164,Oakfield Medical Consultants & Associates,Medical Clinic,Winnipeg,-97.14682000000001,49.956197,106 1021 Court Ave,Winnipeg,MB,204-334-4368,Province of Manitoba
165,Fort Street Clinic,Medical Clinic,Winnipeg,-97.139805,49.894228,300 Fort St,Winnipeg,MB,204-940-5501,Province of Manitoba
166,Mccreary/Alonsa Medical Clinic,Medical Clinic,Prairie Mountain Health,-99.49081099999999,50.769089,Box 250,McCreary,MB,204-835-2586,Province of Manitoba
167,Dr J L Cordova,Medical Clinic,Winnipeg,-97.159255,49.87961,8 25 Sherbrook St,Winnipeg,MB,204-942-2728,Province of Manitoba
168,Macgregor Health Centre Clinic,Medical Clinic,Southern Health-Santé Sud,-98.775803,49.962329,87 Grafton St,MacGregor,MB,204-685-2860,Province of Manitoba
